Timestamp,Presynaptic,Postsynaptic,Weight
19:52:07,RMDDL,MDR01,1
19:52:07,RMDDR,MDL01,1
19:52:07,SMDVL,SMDVR,1
19:52:07,RMDVR,SMDVR,1
19:52:07,RIAL,RIVR,4
19:52:07,RIAR,RMDL,3
19:52:07,RMDDR,MDL02,1
19:52:07,RMDDL,MDR02,1
19:52:07,SMDDL,SMDVR,2
19:52:07,RIAR,RMDR,8
19:52:07,RIAL,RMDDL,12
19:52:07,RMDDL,MDR03,1
19:52:07,RIAR,RMDVL,12
19:52:07,RMDDR,MDL03,2
19:52:07,RMDVL,AVER,1
19:52:07,RIAL,RMDDR,7
19:52:07,RIAR,RMDVR,10
19:52:07,RMDDL,MDR04,1
19:52:07,RMDDR,MDL04,1
19:52:07,RIAL,RMDL,6
19:52:07,RMDVL,MDR01,1
19:52:07,RMDDR,MDR04,1
19:52:07,RMDDL,MDR08,2
19:52:07,RIAR,SAADR,1
19:52:07,RIAL,RMDR,6
19:52:07,RMDVL,MVL04,1
19:52:07,RMDDR,MVR01,1
19:52:07,RMDVL,MVR01,1
19:52:07,RIAR,SIADL,1
19:52:07,RIAL,RMDVL,9
19:52:07,RMDDL,MVR01,1
19:52:07,RMDDR,MVR02,1
19:52:07,RMDVL,MVR02,1
19:52:07,RMDDL,OLQVL,1
19:52:07,RIAL,RMDVR,11
19:52:07,RIAR,SIADR,1
19:52:07,RIAL,SIADL,2
19:52:07,RMDDR,OLQVR,1
19:52:07,RMDVL,MVR03,1
19:52:07,RIAR,SIAVL,1
19:52:07,RMDDL,RMDL,1
19:52:07,RIAL,SMDDL,8
19:52:07,RIAR,SMDDL,7
19:52:07,RMDDR,RMDVL,12
19:52:07,RMDVL,MVR04,1
19:52:07,RMDDL,RMDVL,1
19:52:07,RIAR,SMDDR,7
19:52:07,RMDDR,RMDVR,1
19:52:07,RIAL,SMDDR,10
19:52:07,RMDDL,RMDVR,7
19:52:07,SMDDR,MDL04,1
19:52:07,RMDVL,MVR05,1
19:52:07,RMDDR,SAADR,1
19:52:07,RIAR,SMDVL,13
19:52:07,RIAL,SMDVL,6
19:52:07,RMDDR,SMDDR,1
19:52:07,RMDDL,SMDDL,1
19:52:07,RIAR,SMDVR,7
19:52:07,SMDDR,MDL05,1
19:52:07,RMDVL,MVR06,1
19:52:07,RIAL,SMDVR,11
19:52:07,RMDDR,URYDL,1
19:52:07,SMDDR,MDL06,1
19:52:07,RMDVL,MVR08,1
19:52:07,SMDVR,MVL02,1
19:52:07,RMDVL,OLQDL,1
19:52:07,SMDDR,MDL08,1
19:52:07,SMDDR,MDR04,1
19:52:07,RMDVL,RMDDL,1
19:52:07,SMDVR,MVL03,1
19:52:07,SMDDR,MDR06,1
19:52:07,SMDVR,MVL04,1
19:52:07,RMDVL,RMDDR,6
19:52:07,SMDDR,MVR02,1
19:52:07,SMDVR,MVR07,1
19:52:07,RMDVL,RMDL,1
19:52:07,SMDVR,RIAL,7
19:52:07,SMDDR,RIAL,2
19:52:07,RMDVL,RMDVR,1
19:52:07,SMDVR,RIAR,5
19:52:07,SMDDR,RIAR,1
19:52:07,RMDVL,SAAVL,1
19:52:07,SMDDR,RIBR,1
19:52:07,SMDVR,RIBL,2
19:52:07,RMDVL,SMDVL,1
19:52:07,SMDDR,RIS,1
19:52:07,SMDVR,RIVR,1
19:52:07,SMDDR,RMDDR,1
19:52:07,SMDVR,RIVR,2
19:52:07,SMDDR,VD1,1
19:52:07,SMDVR,RMDDL,1
19:52:07,SMDVR,RMDVR,1
19:52:07,SMDDL,MDL04,1
19:52:07,SMDVL,MVL03,1
19:52:07,SMDDL,MDL06,1
19:52:07,SMDVR,SMDDL,2
19:52:07,RMDVR,AVEL,1
19:52:07,SMDVL,MVL06,1
19:52:07,SMDDL,MDL08,1
19:52:07,SMDVR,SMDVL,1
19:52:07,SMDDL,MDR02,1
19:52:07,RMDVR,AVER,1
19:52:07,SMDVR,VB1,1
19:52:07,SMDVL,MVR02,1
19:52:07,SMDDL,MDR03,1
19:52:07,RMDVR,MDL01,1
19:52:07,SMDVL,MVR03,1
19:52:07,SMDVL,MVR04,1
19:52:07,SMDDL,MDR04,1
19:52:07,RMDVR,MVL01,1
19:52:07,SMDVL,MVR06,1
19:52:07,SMDDL,MDR05,1
19:52:07,SMDVL,PVR,1
19:52:07,RMDVR,MVL02,1
19:52:07,SMDVL,RIAL,3
19:52:07,SMDDL,MDR06,1
19:52:07,RMDVR,MVL03,1
19:52:07,SMDDL,MDR07,1
19:52:07,SMDVL,RIAR,8
19:52:07,RMDVR,MVL04,1
19:52:07,SMDDL,MVL02,1
19:52:07,SMDVL,RIBR,2
19:52:07,RMDVR,MVL05,1
19:52:07,SMDDL,MVL04,1
19:52:07,SMDVL,RIS,1
19:52:07,RMDVR,MVL06,1
19:52:07,SMDDL,RIAL,1
19:52:07,SMDVL,RIVL,1
19:52:07,SMDDL,RIAR,1
19:52:07,RMDVR,MVL08,1
19:52:07,RIAR,CEPVR,1
19:52:07,SMDVL,RIVL,1
19:52:07,RMDVL,AVER,1
19:52:07,SMDDL,RIBL,1
19:52:07,SMDVL,RMDDR,1
19:52:07,RMDVL,MDR01,1
19:52:07,RMDVR,MVR04,1
19:52:07,SMDDL,RIBR,1
19:52:07,RIAR,IL1R,1
19:52:07,SMDVL,RMDVL,1
19:52:07,RMDVL,MVL04,1
19:52:07,RMDVR,MVR06,1
19:52:07,RMDVR,MVR08,1
19:52:07,RMDVL,MVR01,1
19:52:07,SMDDL,RIS,1
19:52:07,RIAR,RIAL,4
19:52:07,SMDVL,SMDDR,4
19:52:07,RIAL,CEPVL,1
19:52:07,RMDVR,OLQDR,1
19:52:07,SMDDL,RMDDL,1
19:52:07,RMDDL,MDR01,1
19:52:07,RMDVL,MVR02,1
19:52:07,RIAR,RIVL,1
19:52:07,SMDDL,SMDVR,2
19:52:07,RMDVL,MVR03,1
19:52:07,RIAL,RIAR,1
19:52:07,SMDVL,SMDVR,1
19:52:07,RMDDL,MDR02,1
19:52:07,RMDVR,RMDDL,4
19:52:07,RIAL,RIVL,2
19:52:07,RMDDL,MDR03,1
19:52:07,RIAR,RMDDL,10
19:52:07,RMDVL,MVR04,1
19:52:07,RMDVR,RMDDR,1
19:52:07,RMDDR,MDL01,1
19:52:07,RIAL,RIVR,4
19:52:07,RMDVL,MVR05,1
19:52:07,RMDDL,MDR04,1
19:52:07,RMDVR,RMDR,1
19:52:07,RMDDR,MDL02,1
19:52:07,RIAR,RMDDR,11
19:52:07,RIAL,RMDDL,12
19:52:07,RIAL,RMDDR,7
19:52:07,RMDDL,MDR08,2
19:52:07,RMDVL,MVR06,1
19:52:07,RIAR,RMDL,3
19:52:07,RMDDR,MDL03,2
19:52:07,RMDVR,RMDVL,1
19:52:07,RMDDL,MVR01,1
19:52:07,RIAL,RMDL,6
19:52:07,RIAR,RMDR,8
19:52:07,RMDVR,SAAVR,1
19:52:07,RMDVL,MVR08,1
19:52:07,RMDDR,MDL04,1
19:52:07,RIAL,RMDR,6
19:52:07,RIAR,RMDVL,12
19:52:07,RMDDL,OLQVL,1
19:52:07,RMDVR,SIBDR,1
19:52:07,RMDVL,OLQDL,1
19:52:07,RIAL,RMDVL,9
19:52:07,RIAR,RMDVR,10
19:52:07,RMDDR,MDR04,1
19:52:07,RMDVR,SIBVR,1
19:52:07,RMDVL,RMDDL,1
19:52:07,RMDDL,RMDL,1
19:52:07,RIAR,SAADR,1
19:52:07,RIAL,RMDVR,11
19:52:07,RMDDL,RMDVL,1
19:52:07,RMDDR,MVR01,1
19:52:07,RMDVR,SMDVR,1
19:52:07,RMDVL,RMDDR,6
19:52:07,RIAR,SIADL,1
19:52:07,RIAL,SIADL,2
19:52:07,RMDDR,MVR02,1
19:52:07,RMDVL,RMDL,1
19:52:07,RMDDL,RMDVR,7
19:52:07,RIAL,SMDDL,8
19:52:07,RIAR,SIADR,1
19:52:07,RMDDR,OLQVR,1
19:52:07,RMDDR,RMDVL,12
19:52:07,RIAR,SIAVL,1
19:52:07,RMDVL,RMDVR,1
19:52:07,RIAL,SMDDR,10
19:52:07,RMDDL,SMDDL,1
19:52:07,RMDDR,RMDVR,1
19:52:07,RIAR,SMDDL,7
19:52:07,RIAL,SMDVL,6
19:52:07,RMDVL,SAAVL,1
19:52:07,RMDDR,SAADR,1
19:52:07,RIAR,SMDDR,7
19:52:07,RIAL,SMDVR,11
19:52:07,RMDVL,SMDVL,1
19:52:07,RMDDR,SMDDR,1
19:52:07,SMDDR,MDL04,1
19:52:07,RMDDR,URYDL,1
19:52:07,RIAR,SMDVL,13
19:52:07,SMDDR,MDL05,1
19:52:07,SMDVL,MVL03,1
19:52:07,SMDDL,MDL04,1
19:52:07,RIAR,SMDVR,7
19:52:07,SMDVR,MVL02,1
19:52:07,SMDDR,MDL06,1
19:52:07,SMDVL,MVL06,1
19:52:07,SMDDL,MDL06,1
19:52:07,SMDVR,MVL03,1
19:52:07,SMDDR,MDL08,1
19:52:07,SMDDL,MDL08,1
19:52:07,SMDVL,MVR02,1
19:52:07,SMDDR,MDR04,1
19:52:07,SMDVR,MVL04,1
19:52:07,SMDDR,MDR06,1
19:52:07,SMDVL,MVR03,1
19:52:07,SMDDL,MDR02,1
19:52:07,SMDVR,MVR07,1
19:52:07,SMDDL,MDR03,1
19:52:07,SMDVL,MVR04,1
19:52:07,SMDDR,MVR02,1
19:52:07,SMDVR,RIAL,7
19:52:07,SMDDR,RIAL,2
19:52:07,SMDDL,MDR04,1
19:52:07,SMDVL,MVR06,1
19:52:07,SMDVR,RIAR,5
19:52:07,SMDDL,MDR05,1
19:52:07,SMDVL,PVR,1
19:52:07,SMDVR,RIBL,2
19:52:07,SMDDR,RIAR,1
19:52:07,SMDDL,MDR06,1
19:52:07,SMDVL,RIAL,3
19:52:07,SMDDR,RIBR,1
19:52:07,SMDVR,RIVR,1
19:52:07,SMDVL,RIAR,8
19:52:07,SMDDL,MDR07,1
19:52:07,SMDVR,RIVR,2
19:52:07,SMDDR,RIS,1
19:52:07,SMDVR,RMDDL,1
19:52:07,SMDDL,MVL02,1
19:52:07,SMDVL,RIBR,2
19:52:07,SMDDR,RMDDR,1
19:52:08,SMDDL,MVL04,1
19:52:08,SMDVR,RMDVR,1
19:52:08,SMDVL,RIS,1
19:52:08,SMDDR,VD1,1
19:52:08,SMDVL,RIVL,1
19:52:08,SMDVR,SMDDL,2
19:52:08,SMDDL,RIAL,1
19:52:08,SMDVR,SMDVL,1
19:52:08,SMDDL,RIAR,1
19:52:08,SMDVL,RIVL,1
19:52:08,SMDVL,RMDDR,1
19:52:08,SMDDL,RIBL,1
